agetype,ageval,ethval,estimate,lci,uci
"o70",0,2,1.60457,.5128945,5.019836
"o70",0,3,4.648551,3.540286,6.103753
"o70",0,4,1.657095,.8160986,3.364744
"o70",0,5,.8821229,.2819395,2.759957
"o70",1,2,1.187841,.4930859,2.861501
"o70",1,3,3.247448,2.726464,3.867984
"o70",1,4,1.208634,.764775,1.910098
"o70",1,5,1.452653,.8394833,2.513689
"ageg",1,2,10.01402,1.11695,89.7808
"ageg",1,3,1.601759,.178912,14.34018
"ageg",1,4,6.122984,.6839959,54.81163
"ageg",1,5,3.44e-09,2.15e-10,5.49e-08
"ageg",2,2,2.99e-19,3.34e-20,2.68e-18
"ageg",2,3,10.10261,2.057465,49.60605
"ageg",2,4,6.604881,.8749562,49.859
"ageg",2,5,4.17092,.3613252,48.14658
"ageg",3,2,3.535243,.2540748,49.19001
"ageg",3,3,9.257448,1.498589,57.18734
"ageg",3,4,5.108547,.681594,38.28856
"ageg",3,5,2.30728,.1660438,32.06108
"ageg",4,2,2.612206,.1639724,41.61444
"ageg",4,3,11.38926,1.565306,82.86889
"ageg",4,4,.9912716,.0623401,15.76223
"ageg",4,5,1.297711,.0812066,20.73786
"ageg",5,2,4.187835,.35861,48.90538
"ageg",5,3,10.41031,1.343869,80.64365
"ageg",5,4,4.410263,.4971687,39.12237
"ageg",5,5,2.875532,.2816198,29.36115
"ageg",6,2,3.513782,.3413253,36.1727
"ageg",6,3,10.2168,1.317664,79.21824
"ageg",6,4,3.624943,.4393123,29.91087
"ageg",6,5,5.607748,.6656656,47.24119
