agegroup,pcovdeath,pcancer,pcvd,pdem_alz,presp,pother
"18-<40",9.39e-06,.000053,.0000269,3.62e-13,6.35e-06,.0001146
"40-<50",.0000602,.0002848,.000176,8.21e-07,.0000445,.0003114
"50-<60",.0001818,.00089,.0004807,.0000107,.000137,.0005662
"60-<70",.0005215,.0025083,.0012319,.0001111,.0005175,.0010377
"70-<80",.001588,.0056313,.0033207,.001211,.0017042,.0025007
"80+",.0073838,.0117961,.0148894,.0146317,.007036,.0134412
